TIME,TARGET_BIN,DETECTED_BIN
19:26:16,R,
19:26:16,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:17,R,
19:26:22,R,
19:26:24,R,
19:26:24,R,
19:26:24,R,
19:26:28,R,
19:26:32,R,
19:26:42,R,
19:27:12,P,
19:27:12,P,
19:27:13,P,
19:27:13,P,
19:27:13,P,
19:27:13,P,
19:27:14,P,
19:27:14,P,
19:27:14,P,
19:27:15,P,
19:27:15,P,
19:27:15,P,
19:27:15,P,
19:27:15,P,
19:27:15,P,
19:27:16,P,
